Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber 1,Viber 2,Telegram 1,Telegram 2,YouTube,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Хоба,бар,Кафе; Бары,"Серебрянический переулок, 8",1 этаж,109028,,Таганский,Москва,,Москва,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-23:00,+03:00,4.7,6,89670257465,,,,,http://barhoba.ru,,,,https://vk.com/club216659081,,,,,,https://t.me/+79670257465,,https://youtube.com/@GoodBarXoba,70000001087046110,55.749693,37.647287,70030076180128230,,,2,70000001065464792,Хоба,бар,Бары,bar,2,45,2026-06-30T10:03:40Z,,0,32,https://2gis.com/firm/70000001087046110,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Wizards&Owls,кафе,Кафе,"Театральный проезд, 5",4 этаж,109012,,Мещанский,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,2.0,1,,,,,,,,,,,,,,,,,,,70000001114160041,55.759896,37.625457,4504235282812406,ЦДМ,,1,70000001114160040,Wizards&Owls,кафе,Кафе,cafe,1,0,2026-05-13T05:51:30Z,,0,32,https://2gis.com/firm/70000001114160041,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Золотая вобла,народный бар,Кафе; Бары; Доставка еды,"Ладожская улица, 1/2",цокольный этаж,105005,,Басманный,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.2,43,89257943663,,,,,http://vobla.ru,,,https://twitter.com/goldvoblaru,https://vk.com/voblabar,https://wa.me/79166786402,,,,,,,,70000001066909966,55.771606,37.681477,4504235282647889,,,4,4504136498370652,Золотая вобла,народный бар,Бары,bar,3,42,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001066909966,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Dungeon Pub,,Кафе; Бары; Доставка еды,"Малая Почтовая улица, 2/2 ст1",цокольный этаж,105005,,Басманный,Москва,,Москва,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,4.6,21,89582715652,89031045978,,,,http://t.me/dungeon_pub,,,,https://vk.com/dungeonpub,https://wa.me/79661038135,https://wa.me/79582715652,https://wa.me/79031045978,,,,,,70000001075883588,55.77069,37.686443,4504235282646040,,,1,70000001075883587,Dungeon Pub,,Бары,bar,3,22,2026-04-09T11:55:47Z,,0,32,https://2gis.com/firm/70000001075883588,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Кафе,,Кафе,"улица Петровка, 2",2 этаж,125009,,Тверской,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.1,13,"84959337300 (доп.3278, многоканальный)","84959337300 (доп.3412, многоканальный)",88005008000,,,,,,,,,,,,,,,,4504127908763658,55.76019,37.619625,4504235282806461,ЦУМ,70030076428235234,2,4504136498487288,Кафе,Кафе,Кафе,cafe,1,21,2025-08-08T13:25:44Z,,0,32,https://2gis.com/firm/4504127908763658,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Tary Moscow,кафе,Кафе,"Переведеновский переулок, 2а",1 этаж,105082,,Басманный,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.7,80,84955892200,,,,,http://t.me/tarymoscow,,,,https://vk.com/tarymoscow,https://wa.me/79037641519,,,,,,,,70000001066650206,55.775965,37.683293,70030076156733964,,,1,70000001066664259,Tary Moscow,кафе,Кафе,cafe,1,29,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001066650206,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Papandopulo,ресторан греческой кухни,Кафе; Рестораны,"2-я Звенигородская улица, 12 ст23",,123100,,Пресненский,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.4,15,89654441905,,,,,http://pnp.moscow,http://t.me/pnpmoscow,,,https://vk.com/papandopulo,,,,,,https://t.me/pnp_moscow,,,70000001109598068,55.762639,37.557413,4504235282790168,,,2,70000001109598067,Papandopulo,ресторан греческой кухни,Рестораны,food_restaurant,2,20,2026-06-09T19:45:02Z,,0,32,https://2gis.com/firm/70000001109598068,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Питчер паб,,Кафе; Бары,"Пятницкая улица, 82/34 ст1",1 этаж,115184,,Замоскворечье,Москва,,Москва,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 14:00-01:00; Вс: 14:00-24:00,+03:00,4.5,43,84951145646,,,,,http://pitchermsk.ru,,,,,,,,,,,,,70000001019207730,55.730155,37.625306,4504235282705096,,,1,70000001019207729,Питчер паб,,Бары,bar,2,36,2026-06-29T13:40:51Z,,0,32,https://2gis.com/firm/70000001019207730,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Taam Hummus Bar,кафе израильской кухни,Кафе; Доставка еды,"улица Покровка, 21-23/25 ст1",,101000,,Басманный,Москва,,Москва,Россия,Пн: 11:00-23:30; Вт: 11:00-23:30; Ср: 11:00-23:30; Чт: 11:00-23:30; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.3,33,89255977153,,,,,http://taplink.cc/taam_hummusbar,,,,https://vk.com/taam_hummus,,,,,,https://t.me/+2YnYVyG9TadjODVi,,,70000001051302292,55.759853,37.647031,4504235282732377,,,4,70000001041529842,Taam Hummus Bar,кафе израильской кухни,Кафе,cafe,2,28,2026-01-28T17:44:39Z,,0,32,https://2gis.com/firm/70000001051302292,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Корсо,итальянское бистро,Кафе; Быстрое питание,"Садовническая улица, 82",6н помещение,115035,,Замоскворечье,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,5.0,1,,,,,,,,,,,,,,,,,,,70000001113747002,55.736904,37.64092,70030076152516116,,,1,70000001113747001,Корсо,итальянское бистро,Кафе,fastfood,2,14,2026-07-07T13:41:26Z,,0,32,https://2gis.com/firm/70000001113747002,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Джаганнат,вегетарианское кафе и магазин,Кафе; Доставка еды; Столовые,"Грузинский Вал улица, 28/45","-1, 1 этаж",123056,,Пресненский,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.4,95,89852271455 (кафе),84992505238 (магазин),,,,http://t.me/jagannath_ru,,,,https://vk.com/club1023520,,,,,,,,,70000001036993269,55.774983,37.583371,4504235282747768,,,3,4504136499590180,Джаганнат,вегетарианское кафе и магазин,Кафе,food_service,3,24,2026-04-22T11:57:13Z,,0,32,https://2gis.com/firm/70000001036993269,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Мачете,кафе-бар,Кафе; Бары,"улица Большие Каменщики, 2",1 этаж,115172,,Таганский,Москва,,Москва,Россия,Пн: 11:00-23:30; Вт: 11:00-23:30; Ср: 11:00-23:30; Чт: 11:00-23:30; Пт: 11:00-23:30; Сб: 11:00-23:30; Вс: 11:00-23:30,+03:00,5.0,2,89687650177,,,,,http://grill-machete.ru,,,,,,,,,,,,,70000001113456136,55.738824,37.652921,4504235282818070,,,3,70000001094164694,Мачете,кафе-бар,Кафе,bar,2,30,2026-04-14T13:28:30Z,,0,32,https://2gis.com/firm/70000001113456136,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Барвиха Lounge,лаундж-бар,Кафе; Центры паровых коктейлей,"Киевская улица, 2",12 этаж,121059,,Дорогомилово,Москва,,Москва,Россия,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-03:00,+03:00,4.9,424,89045682778,,,kievskaya@barvikhagroup.ru,,http://t.me/barvikhagroup,,,,https://vk.com/barvikhagroup,https://wa.me/79997969111,,,viber://chat/?number=79997969111,,https://t.me/barvikhagroup,,,70000001061887647,55.743271,37.563069,4504235283114201,ТГК Киевский,70030076571978532,23,70000001030277941,Барвиха Lounge,лаундж-бар,Центры паровых коктейлей,bar,2,35,2026-07-03T14:21:03Z,,0,32,https://2gis.com/firm/70000001061887647,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Николай,бар-буфет,Кафе; Пекарни; Доставка еды,"Пятницкая улица, 53",1 этаж,115184,,Замоскворечье,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,5.0,50,84951464559 (единая справочная: пн-вс 8:00-23:00),,,,,http://bar-bufet.ru,,,https://twitter.com/barbufet,https://vk.com/barbufet,,,,,,https://t.me/barbufet,,,4504127908833332,55.735082,37.627939,4504235282700886,,,3,4504136498535971,Николай,бар-буфет,Пекарни,cafe,3,27,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/4504127908833332,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Делай культуру,бар,Кафе; Бары,"Милютинский переулок, 15 ст1",1 этаж,101000,,Красносельский,Москва,,Москва,Россия,Пн: 18:00-24:00; Вт: 18:00-24:00; Ср: 18:00-24:00; Чт: 18:00-24:00; Пт: 18:00-01:00; Сб: 16:00-01:00; Вс: 16:00-24:00,+03:00,4.6,30,,,,,,http://www.delaikultu.ru,,,,,,,,,,,,https://youtube.com/channel/UC5YCI1fSUluFhg0WooHLhXw,70000001029439947,55.765143,37.632077,4504235282762200,,,1,70000001029439946,Делай культуру,бар,Бары,bar,2,19,2026-06-26T06:53:28Z,,0,32,https://2gis.com/firm/70000001029439947,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Каслл,кафе,Кафе,"Кутузовский проспект, 36 ст4",1 этаж,121170,,Дорогомилово,Москва,,Москва,Россия,Пн: 12:00-21:00; Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00; Сб: 12:00-21:00; Вс: 12:00-21:00,+03:00,5.0,1,89150350824,,,,,,,,,,,,,,,,,,70000001109918002,55.741263,37.526955,4504235282685463,,,1,70000001109918001,Каслл,кафе,Кафе,cafe,1,21,2025-12-20T11:58:11Z,,0,32,https://2gis.com/firm/70000001109918002,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Norme,кафе,Кафе,"Краснопресненская набережная, 6",8 этаж,123100,,Пресненский,Москва,,Москва,Россия,Пн: 09:00-18:30; Вт: 09:00-18:30; Ср: 09:00-18:30; Чт: 09:00-18:30; Пт: 09:00-18:30,+03:00,5.0,10,89852053489,,,,,http://norme.cafe/kapital,http://t.me/normecafe,,,,https://wa.me/79852053489,,,,,https://t.me/+79852053489,,,70000001099147954,55.754744,37.566511,4504235282747715,БЦ Капитал,,18,70000001035730973,Norme,кафе,Кафе,cafe,1,14,2026-01-30T11:27:12Z,,0,32,https://2gis.com/firm/70000001099147954,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Pub no pub,гастропаб,Кафе; Бары,"Таганская площадь, 86/1 ст1",1 этаж,109240,,Таганский,Москва,,Москва,Россия,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+03:00,4.6,208,89031559007,,,,,http://pubnopub.ru/,,,,https://vk.com/pubnopubmsk,,,,,,https://t.me/pubnopub,,,70000001034926183,55.741505,37.652941,4504235282981984,,,1,70000001033535623,Pub no pub,гастропаб,Бары,bar,2,22,2026-04-24T13:56:13Z,,0,32,https://2gis.com/firm/70000001034926183,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Black hat bar,карибский паб,Кафе; Бары; Доставка еды,"Садовая-Каретная улица, 20 ст1",1 этаж,127051,,Тверской,Москва,,Москва,Россия,Пн: 15:00-24:00; Вт: 15:00-24:00; Ср: 15:00-24:00; Чт: 15:00-24:00; Пт: 15:00-02:00; Сб: 15:00-02:00; Вс: 15:00-24:00,+03:00,4.9,497,84951302408,,,,,http://t.me/sokolovs_bars,,,,https://vk.com/public211108636,,,,,,https://t.me/sokolovs_bars,,,70000001032756147,55.772977,37.610634,4504235282738149,,,2,70000001032756146,Black hat bar,карибский паб,Бары,bar,3,22,2026-06-28T20:40:40Z,,0,32,https://2gis.com/firm/70000001032756147,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Блажъ,ресторан,Кафе,"60-летия Октября проспект, 5 к3",,119334,,Гагаринский,Москва,,Москва,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,4.7,34,89951528225,,,,,http://blushlounge.rest,,,,https://vk.com/blushrest,,,,,,https://t.me/blushloungerest,,,70000001102492168,55.703331,37.580506,4504235282608632,,,1,70000001102492167,Блажъ,ресторан,Кафе,cafe,1,5,2026-06-28T20:11:14Z,,0,32,https://2gis.com/firm/70000001102492168,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Сорока,ресторан-бар,Кафе; Бары; Караоке-залы,"Никольская улица, 17 ст2","1 этаж; вход через ворота в арке с ул. Никольская, домофон 945#",109012,,Тверской,Москва,,Москва,Россия,Пн: 12:00-21:00; Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-21:00 (по предварительной записи: вс),+03:00,5.0,1,89933355057 (бронирование столиков),89299308368 (по вопросам сотрудничества с туристическими группами и организации банкетов),,,,http://soroka.bar,,,,,https://wa.me/79958955057,https://wa.me/79299308368,,viber://chat/?number=79299308368,,,,,70000001114086789,55.758018,37.622716,4504235282807618,ДЦ Славянский,,1,70000001006809588,Сорока,ресторан-бар,Бары,karaoke,3,34,2026-06-22T11:16:36Z,,0,32,https://2gis.com/firm/70000001114086789,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Хинкальная на Гоголевском,кафе,Кафе; Доставка еды,"Гоголевский бульвар, 23",,119019,,Арбат,Москва,,Москва,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,3.9,38,84956970966,,,,,,,,,,,,,,,,,,70000001023087765,55.748094,37.599454,4504235282750527,,,1,70000001023087764,Хинкальная на Гоголевском,кафе,Доставка еды,cafe,2,27,2026-07-09T13:51:31Z,,0,32,https://2gis.com/firm/70000001023087765,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
The Бык,демократичный мясной ресторан,Кафе; Рестораны; Доставка еды,"проспект Мира, 114Б ст2",2 этаж,129626,,Алексеевский,Москва,,Москва,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,5.0,3685,84959881717 (доп.0),,,,,http://thebull.ru,http://t.me/bullmyaso,,,https://vk.com/thebullmsk,,,,,,https://t.me/bullmyaso,,https://youtube.com/channel/UCB-ffUVt27bFj3mWmGWdV0Q,70000001069174719,55.808145,37.637839,70030076224990449,ТЦ Алексеевский,,23,70000001034244514,The Бык,демократичный мясной ресторан,Рестораны,food_restaurant,3,26,2026-06-16T13:20:39Z,,0,32,https://2gis.com/firm/70000001069174719,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Beer Harbor,крафтовый бар,Кафе; Бары,"улица Покровка, 21-23/25 ст1",,101000,,Басманный,Москва,,Москва,Россия,Пн: 16:00-24:00; Вт: 16:00-24:00; Ср: 16:00-24:00; Чт: 16:00-24:00; Пт: 16:00-24:00; Сб: 13:00-24:00; Вс: 13:00-24:00,+03:00,4.6,62,84952112861,,,,,http://beerharbor.ru,,,,https://vk.com/beerharbor,,,,,,https://t.me/beerharborbar,,,70000001030574330,55.759945,37.646972,4504235282732377,,,1,70000001030574329,Beer Harbor,крафтовый бар,Бары,bar,2,28,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001030574330,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Fob`s,кофейня,Кафе; Кофейни; Доставка еды,"Ленинградский проспект, 36 ст39",,125167,,Аэропорт,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.6,34,89162226787,,,,,,,,,,,,,,,,,,70000001067035036,55.790427,37.567147,4504235283180341,,,1,70000001082982553,Fob`s,кофейня,Кофейни,cafe,3,37,2026-03-25T23:05:14Z,,0,32,https://2gis.com/firm/70000001067035036,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Золотая вобла,народный бар,Кафе; Бары; Доставка еды,"Ладожская улица, 1/2",цокольный этаж,105005,,Басманный,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.2,43,89257943663,,,,,http://vobla.ru,,,https://twitter.com/goldvoblaru,https://vk.com/voblabar,https://wa.me/79166786402,,,,,,,,70000001066909966,55.771606,37.681477,4504235282647889,,,4,4504136498370652,Золотая вобла,народный бар,Бары,bar,3,42,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001066909966,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Деликатеска,устричный бар-гастроном,Кафе; Доставка еды; Быстрое питание; Бары; Рыба и морепродукты,"улица Архитектора Щусева, 4 к1",1 этаж,115432,,Даниловский,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.9,36,89917271660,,,mail@delikateska.ru,,http://delikateska.ru,http://dzen.ru/delikateska,http://rutube.ru/channel/23890568,,https://vk.com/delikateska,,,,,,https://t.me/delikateska_ru,,,70000001090163720,55.697829,37.633577,70030076199654883,,,13,70000001100793064,Деликатеска,устричный бар-гастроном,Доставка еды,fastfood,5,22,2026-07-01T21:36:23Z,,0,32,https://2gis.com/firm/70000001090163720,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
The Бык,демократичный мясной ресторан,Кафе; Рестораны; Доставка еды,"проспект Мира, 114Б ст2",2 этаж,129626,,Алексеевский,Москва,,Москва,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,5.0,3677,84959881717 (доп.0),,,,,http://thebull.ru,http://t.me/bullmyaso,,,https://vk.com/thebullmsk,,,,,,https://t.me/bullmyaso,,https://youtube.com/channel/UCB-ffUVt27bFj3mWmGWdV0Q,70000001069174719,55.808145,37.637839,70030076224990449,ТЦ Алексеевский,,23,70000001034244514,The Бык,демократичный мясной ресторан,Рестораны,food_restaurant,3,26,2026-06-16T13:20:39Z,,0,32,https://2gis.com/firm/70000001069174719,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Исфара,чайхона,Кафе,"Комсомольская площадь, 6",-1 этаж,107140,,Красносельский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.6,98,89959815843,,,,,,,,,,,,,,,,,,70000001030208454,55.775338,37.659344,4504235282656901,Универмаг Московский,70030076176832627,1,70000001030208453,Исфара,чайхона,Кафе,cafe,1,28,2026-06-17T11:54:12Z,,0,32,https://2gis.com/firm/70000001030208454,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Таганка,кафе,Кафе,"Марксистская улица, 34 ст2",въезд с переулка Новоселенский,109147,,Таганский,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.2,6,84959116969,,,,,http://tagankahotel.ru,,,,,,,,,,,,,70000001065449159,55.734877,37.663149,4504235282739313,,,1,70000001065449158,Таганка,кафе,Кафе,cafe,1,16,2026-06-11T09:25:18Z,,0,32,https://2gis.com/firm/70000001065449159,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Тайцы,кафе тайской кухни,Кафе; Бары; Быстрое питание,"улица Сретенка, 1",вход в арку,107045,,Мещанский,Москва,,Москва,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,4.2,7,89252500776,,,,,http://t.me/stritthai,http://thaitsy.ru,,,,,,,,,,,,70000001103640763,55.766723,37.630922,4504235282696784,,,3,70000001031113576,Тайцы,кафе тайской кухни,Кафе,bar,3,25,2026-07-06T13:46:51Z,,0,32,https://2gis.com/firm/70000001103640763,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Wizards&Owls,кафе,Кафе,"Театральный проезд, 5",4 этаж,109012,,Мещанский,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,2.0,1,,,,,,,,,,,,,,,,,,,70000001114160041,55.759896,37.625457,4504235282812406,ЦДМ,,1,70000001114160040,Wizards&Owls,кафе,Кафе,cafe,1,0,2026-05-13T05:51:30Z,,0,32,https://2gis.com/firm/70000001114160041,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Давид,израильский бар,Кафе; Бары; Доставка еды,"Никитский бульвар, 25",1 этаж,119019,,Пресненский,Москва,,Москва,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,4.7,34,89299317950,,,,,,,,,,,,,,,,,,70000001067539064,55.756954,37.598132,4504235282749443,,,1,70000001067539063,Давид,израильский бар,Кафе,bar,3,31,2026-06-02T13:44:16Z,,0,32,https://2gis.com/firm/70000001067539064,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Здрасте,кофейня,Кафе; Кофейни; Доставка еды,"Красноказарменная улица, 14а к5",1 этаж,111250,,Лефортово,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,5.0,330,89850478226,,,zdrastelefortovo@yandex.ru,,http://t.me/zdraste_lefortovo,,,,https://vk.com/zdrastecoffeebar,https://wa.me/79850478226,,,,,https://t.me/zdraste_cafe_izmaylovskiy_les,https://t.me/zdrastecafe,,70000001076988835,55.752566,37.70616,70030076160106622,,,103,70000001033681797,Здрасте,кофейня,Кофейни,cafe,3,56,2026-07-07T06:38:30Z,,0,32,https://2gis.com/firm/70000001076988835,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Российская государственная библиотека,буфет,Кафе,"улица Воздвиженка, 3/5 ст1",1 этаж,119019,,Арбат,Москва,,Москва,Россия,"Пн: 09:00-15:00, 15:30-19:00; Вт: 09:00-15:00, 15:30-19:00; Ср: 09:00-15:00, 15:30-19:00; Чт: 09:00-15:00, 15:30-19:00; Пт: 09:00-15:00, 15:30-19:00; Сб: 09:00-15:00, 15:30-19:00 (санитарный день: последний пн месяца)",+03:00,,,88001005790 (единая справочная: пн-сб 9:00-20:00),84995570470 (многоканальный: пн-сб 9:00-20:00),,,,http://rsl.ru,http://rusneb.ru,http://t.me/leninka_ru,,https://vk.com/leninka_ru,,,,,,,,https://youtube.com/user/RussianStateLibrary,70000001104929737,55.749695,37.608591,4504235282781350,,70030076493276034,17,4504136498487762,"Российская государственная библиотека, ФГБУ",,Кафе,cafe,1,4,2026-06-22T12:53:47Z,,0,32,https://2gis.com/firm/70000001104929737,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
Шоколадница,кофейня,Кафе; Кофейни; Доставка еды,"Ленинский проспект, 2а",2 этаж,119049,,Якиманка,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,2.9,229,89154738158,,,,,http://shoko.ru,http://t.me/shokomoscow,http://max.ru/shokoru,,https://vk.com/shokoru,,,,,,,,,4504127916840529,55.729116,37.61151,4504235282718635,,,17,70000001103093349,Шоколадница,кофейня,Кофейни,cafe,3,45,2026-07-01T13:26:47Z,,0,32,https://2gis.com/firm/4504127916840529,branch,5474,https://2gis.ru/moscow/search/кафе/rubricId/161
