Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,ID объекта,Широта,Долгота,ID здания,Название здания,ID этажа,Количество филиалов,ID сети,Название сети,Специализация сети,Главная рубрика,POI-категория,Кол-во рубрик,Кол-во атрибутов,Дата обновления,Удалён,ID сегмента,ID региона,2GIS URL,Тип,Ожидаемое кол-во (2GIS),Ссылка запроса
Старик Хинкалыч,хинкальная,Кафе,"Верхняя Радищевская улица, 13 ст2",,109240,,Таганский,Москва,,Москва,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.6,178,89804002154,,,,,http://хинкалыч.рф,http://max.ru/starikhinkalych_russia,http://jivo.chat/Mw6hnQzqkl,,https://vk.com/starikhinkalych77,,,,,https://t.me/hello_hinkalych,,,70000001076996565,55.743794,37.651188,4504235282689536,,,13,70000001062794032,Старик Хинкалыч,хинкальная,Кафе,cafe,1,19,2026-07-06T05:15:26Z,,0,32,https://2gis.com/firm/70000001076996565,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Хинкальная by ten,,Кафе,"улица Арбат, 36/2 ст1",1 этаж,119002,,Арбат,Москва,,Москва,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,4.6,21,89913392681,,,,,http://khinkalyten.ru,,,,https://vk.com/khinkaliten,https://wa.me/79913392681,,,,https://t.me/+79913392681,,,70000001096444652,55.74895,37.588384,4504235282751908,,,1,70000001096444651,Хинкальная by ten,,Кафе,cafe,1,24,2026-06-03T09:51:05Z,,0,32,https://2gis.com/firm/70000001096444652,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Рыбторг,кафе-магазин,Кафе; Рыба и морепродукты; Доставка еды,"Трёхпрудный переулок, 5",1 этаж,123001,Патриаршие пруды м-н,Пресненский,Москва,,Москва,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.7,24,89651769777,,,,,http://rybtorg.moscow,,,,,https://wa.me/79651769777,,,,https://t.me/+79651769777,,,70000001028629662,55.764937,37.597821,4504235282747575,,,1,70000001028629661,Рыбторг,кафе-магазин,Рыба и морепродукты,cafe,3,33,2026-06-18T12:43:54Z,,0,32,https://2gis.com/firm/70000001028629662,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Сыто Пьяно,ресторан,Кафе; Бары; Доставка еды,"Большой Сухаревский переулок, 25 ст1",цокольный этаж,127051,,Мещанский,Москва,,Москва,Россия,Пн: 11:00-06:00; Вт: 11:00-06:00; Ср: 11:00-06:00; Чт: 11:00-06:00; Пт: 11:00-06:00; Сб: 11:00-06:00; Вс: 11:00-06:00,+03:00,4.2,28,89255461808,,,,,http://sito-piano.ru,,,,https://vk.com/sito_piano,,,,,,,,70000001095231672,55.770821,37.632,4504235282720141,,,8,4504136499552047,Сыто Пьяно,ресторан,Кафе,bar,3,47,2026-06-03T13:51:07Z,,0,32,https://2gis.com/firm/70000001095231672,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Есть хинкали&пить вино,ресторан,Кафе; Доставка еды; Рестораны,"Поварская улица, 8",1 этаж,121069,,Арбат,Москва,,Москва,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+03:00,4.3,59,84959755535 (доп.4),,,,,http://llgroup.ru,http://t.me/eatkhinkali,,,https://vk.com/eatkhinkali,,,,,,,,70000001041974671,55.754058,37.599038,70030076166444818,,,5,70000001021355947,Есть хинкали&пить вино,ресторан,Кафе,food_restaurant,3,29,2026-06-15T12:49:33Z,,0,32,https://2gis.com/firm/70000001041974671,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Таманно,чайхана,Кафе; Доставка еды,"улица Орджоникидзе, 12 ст4",1 этаж,119071,,Донской,Москва,,Москва,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+03:00,4.1,91,89672797676,,,,,,,,,https://vk.com/club141013639,,,,,https://t.me/+79672797676,,,70000001028560468,55.710287,37.591059,4504235311785083,,,1,70000001028560467,Таманно,чайхана,Доставка еды,cafe,2,27,2025-09-23T11:03:45Z,,0,32,https://2gis.com/firm/70000001028560468,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Parka,бар,Кафе; Бары; Доставка еды,"улица Маросейка, 6-8 ст1",1 этаж,101000,,Басманный,Москва,,Москва,Россия,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+03:00,4.9,105,89856212353,,,,,http://barparka.ru/marosejka,,,,https://vk.com/parka_bar,,,,,https://t.me/parkabarbot,,,70000001103925335,55.757509,37.634343,4504235282741856,,,3,70000001021479880,Parka,бар,Бары,bar,3,22,2026-05-04T14:09:48Z,,0,32,https://2gis.com/firm/70000001103925335,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Уттупура,кафе,Кафе; Доставка еды,"Мичуринский проспект, 3",1 этаж,119192,Шуваловский Prima жилой комплекс,Раменки,Москва,,Москва,Россия,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+03:00,,,84956461331,,,,,http://ayurveda.ru/cafe,,,,,,,,,,,,70000001040825442,55.704061,37.513583,4504235282609691,,,1,70000001040825441,Уттупура,кафе,Кафе,cafe,2,10,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001040825442,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Штолле,кафе-пекарня,Кафе; Пекарни; Доставка еды,"Минская улица, 14 к1",1 этаж,121096,,Филёвский парк,Москва,,Москва,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 08:00-21:00; Вс: 09:00-21:00,+03:00,4.6,34,84951203581 (доп.514),,,,,http://msk.stolle.ru,,,,https://vk.com/stolle_msk,https://wa.me/74956444045,,,,https://t.me/mskstolle,,https://youtube.com/@user-xr7vw2ri6d,70000001022531765,55.73747,37.486023,4504235282562762,,,31,4504136498312703,Штолле,кафе-пекарня,Пекарни,cafe,3,19,2026-04-20T10:40:51Z,,0,32,https://2gis.com/firm/70000001022531765,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Harat`s pub,ирландский паб,Кафе; Бары,"улица Сретенка, 15",1 этаж,107045,,Мещанский,Москва,,Москва,Россия,Пн: 12:00-06:00; Вт: 12:00-06:00; Ср: 12:00-06:00; Чт: 12:00-06:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-06:00,+03:00,4.9,169,84950980078,,,,,http://moscow.harats.com,,,,https://vk.com/harats_sretenka,,,,,https://t.me/superloveharats,,,70000001055531556,55.769289,37.631982,4504235282721843,Гостиница Сретенская,,18,70000001030573374,Harat`s pub,ирландский паб,Бары,bar,2,43,2026-06-25T10:36:09Z,,0,32,https://2gis.com/firm/70000001055531556,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Cazaban bistro&bakery,,Кафе,"Серпуховская площадь, 36/71",1 этаж,115184,,Замоскворечье,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.2,9,89256585799,,,,,http://cazabanbistro.com,,,,https://vk.com/club234720359,,,,,https://t.me/cazabanbistro,,,70000001104901511,55.730098,37.624082,4504235282705064,,,1,70000001104901510,Cazaban bistro&bakery,,Кафе,cafe,1,27,2026-03-24T13:27:11Z,,0,32,https://2gis.com/firm/70000001104901511,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Батони,кафе грузинской кухни,Кафе; Доставка еды,"Смоленская-Сенная площадь, 23/25",,119121,,Хамовники,Москва,,Москва,Россия,Пн: 11:30-24:00; Вт: 11:30-24:00; Ср: 11:30-24:00; Чт: 11:30-24:00; Пт: 11:30-24:00; Сб: 11:30-24:00; Вс: 11:30-24:00,+03:00,4.2,8,84992527121,,,,,http://batoni-kafe.ru,,,,https://vk.com/cafebatoni,,,,,https://t.me/cafebatoni,,,70000001110683581,55.744207,37.583109,4504235282738325,,,11,4504136499633390,Батони,кафе грузинской кухни,Кафе,cafe,2,8,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001110683581,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Хинкали плюс,,Кафе,"Неверовского улица, 9",,121293,,Дорогомилово,Москва,,Москва,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 11:00-22:00; Сб: 11:00-22:00; Вс: 11:00-22:00,+03:00,5.0,4,89777341617,,,,,http://xinkali-neverovskogo.qr-cafe.ru,,,,,,,,,,,,70000001113845760,55.737783,37.510178,4504235282799466,,,2,70000001099860490,Хинкали плюс,,Кафе,cafe,1,3,2026-04-29T14:40:51Z,,0,32,https://2gis.com/firm/70000001113845760,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Вареничная №1,кафе,Кафе,"Комсомольская площадь, 5",1 этаж,107140,,Красносельский,Москва,,Москва,Россия,Пн: 09:00-24:00; Вт: 09:00-24:00; Ср: 09:00-24:00; Чт: 09:00-24:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-24:00,+03:00,4.6,183,89253644358,,,,,http://varenichnaya1.ru,,,,https://vk.com/varenichnaya_1,,,,,,,https://youtube.com/channel/UC9d4o-UzXszGymUPBylemhg/videos,70000001076134823,55.776641,37.656965,4504235282823170,Ярославский вокзал,70030076560144565,18,70000001041845568,Вареничная №1,кафе,Кафе,cafe,1,22,2026-06-17T10:17:31Z,,0,32,https://2gis.com/firm/70000001076134823,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Norme,кафе,Кафе,"Живописная улица, 21 к2",рядом с велнес-клубом Витаспорт,123098,,Хорошёво-Мнёвники,Москва,,Москва,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+03:00,5.0,3,89161402447,,,,,http://norme.cafe/vitasport,http://t.me/normecafe,,,,https://wa.me/79161402447,,,,https://t.me/+79161402447,,,70000001083447193,55.790853,37.44911,4504235282690958,,,18,70000001035730973,Norme,кафе,Кафе,cafe,1,17,2026-07-07T11:46:43Z,,0,32,https://2gis.com/firm/70000001083447193,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Беседа,кафе,Кафе; Доставка еды,"улица Космонавта Волкова, 12",1 этаж,127299,,Войковский,Москва,,Москва,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,2.4,23,84952268835,,,,,,,,,,,,,,,,,4504127918096088,55.815653,37.518857,4504235282639343,,,1,4504136499666033,Беседа,кафе,Кафе,cafe,2,29,2026-04-29T13:47:29Z,,0,32,https://2gis.com/firm/4504127918096088,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
2:2,паб,Кафе; Бары,"улица Сретенка, 16/2",цокольный этаж,107045,,Красносельский,Москва,,Москва,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-02:00; Сб: 14:00-02:00; Вс: 14:00-24:00,+03:00,4.9,46,89166819172,84956212927,,,,http://22pub.ru,,,,,,,,,,,,70000001030130569,55.768386,37.632583,4504235282692121,,,1,70000001030130568,2:2,паб,Бары,bar,2,25,2026-06-04T15:00:45Z,,0,32,https://2gis.com/firm/70000001030130569,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Сварня,пивной ресторан,Кафе; Рестораны; Доставка еды; Бары,"проспект Мира, 74 ст1",1 этаж,129110,,Мещанский,Москва,,Москва,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-23:00,+03:00,4.8,177,89687397109 (служба доставки),,,,,http://info2gis.tilda.ws/proxy18?target=https%3A%2F%2Fwww.svarnya.ru%2F&back=https%3A%2F%2Fgo.2gis.com%2FixbOq&mode=0,,,,,https://wa.me/79687397109,,,,https://t.me/+79687397109,,,70000001031157468,55.789983,37.635262,4504235282564982,,,4,4504136498573716,Сварня,пивной ресторан,Рестораны,food_restaurant,4,68,2026-06-05T08:18:15Z,,0,32,https://2gis.com/firm/70000001031157468,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Рыбная мануфактура №1,ресторан,Кафе; Рыба и морепродукты; Доставка еды,"улица Ефремова, 10 к1","1, 2 этаж",119048,,Хамовники,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.6,40,89166339468,,,,,http://rm-1.ru,,,,https://vk.com/rybnayamanufaktura,https://wa.me/79166339468,,,,,,,70000001049145194,55.725293,37.575176,4504235283106189,,,16,4504137598360903,Рыбная мануфактура №1,ресторан,Рыба и морепродукты,cafe,3,39,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001049145194,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Пипл&Паста,паста-бар,Кафе; Доставка еды,"Цветной бульвар, 25 ст1",1 этаж,127051,,Тверской,Москва,,Москва,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 12:00-23:00,+03:00,4.7,182,89253865646,,,,,http://пипл-паста.рф,http://t.me/people-pasta.com,,,,https://wa.me/79253865646,,,,https://t.me/+79253865646,,,70000001006156339,55.772955,37.620829,4504235282722655,,,1,70000001006156340,Пипл&Паста,паста-бар,Доставка еды,cafe,2,30,2026-03-12T18:03:08Z,,0,32,https://2gis.com/firm/70000001006156339,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Петров и Васечка,коктейльный бар,Кафе; Бары,"Цветной бульвар, 24 к1",цокольный этаж,127051,,Мещанский,Москва,,Москва,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-03:00; Сб: 15:00-03:00; Вс: 15:00-24:00,+03:00,4.7,76,89687107770,,,,,http://petrovivasechka.tilda.ws,,,,https://vk.com/petrov_i_vasechka,https://wa.me/79687107770,,,,https://t.me/whereismymmr,https://t.me/petrovivasechka,,70000001018266414,55.770992,37.622434,4504235282719212,,,1,70000001018266413,Петров и Васечка,коктейльный бар,Бары,bar,2,32,2026-06-09T16:33:14Z,,0,32,https://2gis.com/firm/70000001018266414,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Eat&Talk,ресторан с концепцией деловой гостиной,Кафе; Рестораны,"улица Воздвиженка, 4/7 ст2",1 этаж,125009,,Арбат,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.9,285,84951468940,,,,,http://t.me/eat_and_talk,,,,,https://wa.me/79037487427,,,,,,,4504127908713692,55.753022,37.610862,4504235301255643,БЦ Моховая,,1,4504136498457422,Eat&Talk,ресторан с концепцией деловой гостиной,Рестораны,food_restaurant,2,38,2026-06-08T18:04:28Z,,0,32,https://2gis.com/firm/4504127908713692,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Чайхона №1,ресторан,Кафе; Рестораны; Доставка еды,"улица Петровские Линии, 2/18",1 этаж,127051,,Тверской,Москва,,Москва,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-06:00; Сб: 11:00-06:00; Вс: 11:00-24:00 (служба доставки: пн-вс 11:00-23:00),+03:00,3.9,113,84957443200,,,,,http://chaihona1.ru,,,,https://vk.com/chaihona1ru,,,,,,,,4504128908454487,55.76396,37.61826,4504235282763488,Гостиница Будапешт,,17,4504136498581234,Чайхона №1,ресторан,Рестораны,food_restaurant,3,68,2026-06-06T10:21:47Z,,0,32,https://2gis.com/firm/4504128908454487,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Pono place,кафе,Кафе,"Кривоколенный переулок, 14 ст1",1-2 этаж,101000,,Басманный,Москва,,Москва,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,3.5,26,89303333397,,,,,http://t.me/pono_people,,,,,https://wa.me/79303333397,,,,https://t.me/+79303333397,,,70000001110173706,55.762492,37.637265,4504235282759532,,,1,70000001110173705,Pono place,кафе,Кафе,cafe,1,24,2026-01-03T16:16:04Z,,0,32,https://2gis.com/firm/70000001110173706,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Лес,гастропаб,Кафе; Бары; Доставка еды,"улица Верхняя Масловка, 21",цокольный этаж,127083,,Аэропорт,Москва,,Москва,Россия,Пн: 11:30-24:00; Вт: 11:30-24:00; Ср: 11:30-24:00; Чт: 11:30-24:00; Пт: 11:30-24:00; Сб: 11:30-24:00; Вс: 12:00-24:00,+03:00,4.7,45,89261992234,,,,,http://www.lesbar.ru,,,,,https://wa.me/79261992234,,,,https://t.me/+79261992234,https://t.me/lesbarRu,,70000001044965921,55.795513,37.559745,4504235282676849,,,1,70000001044965920,Лес,гастропаб,Бары,bar,3,31,2026-06-22T09:08:59Z,,0,32,https://2gis.com/firm/70000001044965921,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Каганат,чайхана,Кафе,"Севастопольский проспект, 15 к1",1 этаж,117447,,Котловка,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.3,48,89253050005,,,,,,,,,,https://wa.me/79253050005,,,,,,,70000001078901819,55.683271,37.600071,4504235282591479,,,1,70000001078901818,Каганат,чайхана,Кафе,cafe,1,23,2026-03-29T17:28:24Z,,0,32,https://2gis.com/firm/70000001078901819,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Хинкальная на Пресне,кафе,Кафе; Доставка еды,"улица Красная Пресня, 28",1 этаж,123376,,Пресненский,Москва,,Москва,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.6,67,84992526292,,,,,http://хинкальная28.рф,,,,,https://wa.me/79167718777,,,,,,,4504127908813041,55.762219,37.568482,4504235282784864,,,1,4504136498521170,Хинкальная на Пресне,кафе,Доставка еды,cafe,2,26,2026-07-03T15:15:27Z,,0,32,https://2gis.com/firm/4504127908813041,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Шоколадница,кофейня,Кафе; Кофейни; Доставка еды,"Новослободская улица, 10/9",1 этаж,127055,,Тверской,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-23:00,+03:00,4.9,162,89660652333,,,,,http://shoko.ru,,,,https://vk.com/shokoru,,,,,https://t.me/shokomoscow,,,4504128908695710,55.780527,37.600148,4504235282737072,,,163,4504136498310300,Шоколадница,кофейня,Кофейни,cafe,3,37,2026-06-26T08:12:52Z,,0,32,https://2gis.com/firm/4504128908695710,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Давид,израильский бар,Кафе; Бары; Доставка еды,"Никитский бульвар, 25",1 этаж,119019,,Пресненский,Москва,,Москва,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,4.7,34,89299317950,,,,,,,,,,,,,,,,,70000001067539064,55.756954,37.598132,4504235282749443,,,1,70000001067539063,Давид,израильский бар,Кафе,bar,3,31,2026-06-02T13:44:16Z,,0,32,https://2gis.com/firm/70000001067539064,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
#Небулошная,гастро-кафе,Кафе; Доставка еды,"проспект Маршала Жукова, 78",1 этаж,123103,,Хорошёво-Мнёвники,Москва,,Москва,Россия,Пн: 08:00-22:00; Вт: 08:00-22:00; Ср: 08:00-22:00; Чт: 08:00-22:00; Пт: 08:00-22:00; Сб: 08:00-22:00; Вс: 08:00-22:00,+03:00,3.5,10,84956698791,84956692773 (единый номер: пн-вс 8:00-22:00),,,,http://nebuloshnaya.ru,,,,,,,,,,,,70000001027472192,55.780579,37.449359,4504235282690810,,,1,70000001027472191,#Небулошная,гастро-кафе,Доставка еды,cafe,2,35,2025-10-09T06:29:12Z,,0,32,https://2gis.com/firm/70000001027472192,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Чевапи гриль,ресторан аутентичной сербской кухни,Кафе,"улица Шаболовка, 30/12",1 этаж,115419,,Донской,Москва,,Москва,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.8,66,89152220476,,,,,,,,,https://vk.com/cevapigrill,,,,,,,,70000001063560733,55.719592,37.60784,4504235282716578,,,1,70000001063906612,Чевапи гриль,ресторан аутентичной сербской кухни,Кафе,cafe,1,25,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001063560733,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Kitchen,семейное кафе,Кафе; Доставка еды; Кондитерские изделия,"улица Гризодубовой, 4 к4",,125252,,Хорошёвский,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.5,23,89260210880,,,,,http://cafe-kitchen.ru,,,,https://vk.com/kitchen_cafe,,,,,,,,70000001021704513,55.786133,37.520702,4504235282680157,,,10,4504136499526572,Kitchen,семейное кафе,Кафе,cafe,3,45,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001021704513,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Сварня,пивной ресторан,Кафе; Рестораны; Доставка еды; Бары,"проспект Мира, 74 ст1",1 этаж,129110,,Мещанский,Москва,,Москва,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-23:00,+03:00,4.7,177,89687397109 (служба доставки),,,,,http://info2gis.tilda.ws/proxy18?target=https%3A%2F%2Fwww.svarnya.ru%2F&back=https%3A%2F%2Fgo.2gis.com%2FixbOq&mode=0,,,,,https://wa.me/79687397109,,,,https://t.me/+79687397109,,,70000001031157468,55.789983,37.635262,4504235282564982,,,4,4504136498573716,Сварня,пивной ресторан,Рестораны,food_restaurant,4,68,2026-06-05T08:18:15Z,,0,32,https://2gis.com/firm/70000001031157468,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Sattva,вегетарианский ресторан,Кафе; Доставка еды,"Тверская улица, 20 ст1",1 этаж,125009,,Тверской,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.7,125,89267055020,,,,,http://sattva.moscow/tverskaya,,,,https://vk.com/sattva.vegetarian,https://wa.me/79952993282,,,,https://t.me/sattvamsk,,,70000001058694227,55.766706,37.602325,4504235282736105,,,3,70000001040554059,Sattva,вегетарианский ресторан,Кафе,cafe,2,25,2026-06-16T09:16:07Z,,0,32,https://2gis.com/firm/70000001058694227,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Рыбная мануфактура №1,ресторан,Кафе; Рыба и морепродукты; Доставка еды,"улица Ефремова, 10 к1","1, 2 этаж",119048,,Хамовники,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,4.6,40,89166339468,,,,,http://rm-1.ru,,,,https://vk.com/rybnayamanufaktura,https://wa.me/79166339468,,,,,,,70000001049145194,55.725293,37.575176,4504235283106189,,,16,4504137598360903,Рыбная мануфактура №1,ресторан,Рыба и морепродукты,cafe,3,39,2026-04-09T03:00:00Z,,0,32,https://2gis.com/firm/70000001049145194,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
Барвиха lounge,лаундж-бар,Кафе; Центры паровых коктейлей; Бары,"Нижняя Красносельская улица, 35 ст59",6 этаж,105066,,Басманный,Москва,,Москва,Россия,Пн: 12:00-03:00; Вт: 12:00-03:00; Ср: 12:00-03:00; Чт: 12:00-03:00; Пт: 12:00-06:00; Сб: 12:00-06:00; Вс: 12:00-03:00,+03:00,5.0,649,89045670048,,,baumanskaya@barvikhagroup.ru,,http://t.me/barvikhagroup,,,,https://vk.com/barvikhagroup,https://wa.me/79997722001,,,viber://chat/?number=79997722001,https://t.me/barvikhagroup,,,70000001030277942,55.776426,37.674938,4504235282650587,,,23,70000001030277941,Барвиха lounge,лаундж-бар,Центры паровых коктейлей,bar,3,34,2026-07-03T14:21:18Z,,0,32,https://2gis.com/firm/70000001030277942,branch,5468,https://2gis.ru/moscow/search/кафе/rubricId/161
